town,office,district,party,candidate,votes
West Warwick,School Committee Ward 5 West Warwick,,NON,WRITE-IN,122
West Warwick,1. CHANGING THE OFFICIAL NAME OF THE STATE,,NON,Reject,6574
West Warwick,1. CHANGING THE OFFICIAL NAME OF THE STATE,,NON,Approve,5628
Westerly,President,,DEM,Joseph R. Biden,7153
Westerly,President,,REP,Donald J. Trump,5463
Westerly,President,,Lib,Jo Jorgensen,127
Westerly,President,,NON,WRITE-IN,64
Westerly,President,,All,Roque &quot;Rocky&quot; De La Fuente,18
Westerly,President,,AS,Brian Carroll,16
Westerly,President,,S&L,Gloria La Riva,13
Westerly,U.S. Senate,,DEM,John F. Reed,7626
Westerly,U.S. Senate,,REP,Allen R. Waters,4641
Westerly,U.S. Senate,,NON,WRITE-IN,11
Westerly,U.S. House,2,DEM,James R. Langevin,7280
Westerly,U.S. House,2,REP,Robert B. Lancia,4923
Westerly,U.S. House,2,NON,WRITE-IN,13
Westerly,State Senate,38,REP,Dennis L. Algiere,9792
Westerly,State Senate,38,NON,WRITE-IN,379
Westerly,State House,36,REP,Blake A. Filippi,664
Westerly,State House,36,NON,WRITE-IN,18
Westerly,State House,37,DEM,Samuel A. Azzinaro,5341
Westerly,State House,37,Ind,"Timothy Shawn McLaughlin, Jr.",2318
Westerly,State House,37,NON,WRITE-IN,33
Westerly,State House,38,DEM,Brian Patrick Kennedy,1974
Westerly,State House,38,REP,"Donald J. Kohlman, II",1204
Westerly,State House,38,NON,WRITE-IN,10
Westerly,Town Council TOWN OF WESTERLY,,Ind,Sharon E. Ahern,6745
Westerly,Town Council TOWN OF WESTERLY,,Ind,"Caswell Cooke, Jr.",6727
Westerly,Town Council TOWN OF WESTERLY,,DEM,Christopher A. Duhamel,6411
Westerly,Town Council TOWN OF WESTERLY,,REP,"Philip M. Overton, Jr.",6077
Westerly,Town Council TOWN OF WESTERLY,,DEM,Suzanne K. Giorno,6064
Westerly,Town Council TOWN OF WESTERLY,,Ind,Karen A. Cioffi,5947
Westerly,Town Council TOWN OF WESTERLY,,DEM,Brian H. McCuin,5528
Westerly,Town Council TOWN OF WESTERLY,,Ind,Dylan J. LaPietra,5115
Westerly,Town Council TOWN OF WESTERLY,,Ind,Jarraid Michael Belanger,4934
Westerly,Town Council TOWN OF WESTERLY,,NON,WRITE-IN,210
Westerly,School Committee TOWN OF WESTERLY,,DEM,Diane Chiaradio Bowdy,6266
Westerly,School Committee TOWN OF WESTERLY,,REP,Christine M. Cooke,6149
Westerly,School Committee TOWN OF WESTERLY,,DEM,Giuseppe Gencarelli,5810
Westerly,School Committee TOWN OF WESTERLY,,DEM,Robert M. Cillino,5578
Westerly,School Committee TOWN OF WESTERLY,,Ind,Rebecca A. Fowler,5491
Westerly,School Committee TOWN OF WESTERLY,,Ind,Timothy C. Killam,4976
Westerly,School Committee TOWN OF WESTERLY,,DEM,Michael W. Ober,4933
Westerly,School Committee TOWN OF WESTERLY,,NON,WRITE-IN,87
Westerly,1. CHANGING THE OFFICIAL NAME OF THE STATE,,NON,Approve,5961
Westerly,1. CHANGING THE OFFICIAL NAME OF THE STATE,,NON,Reject,5751
Westerly,2. WINNAPAUG POND AQUATIC ECOSYSTEM RESTORATION PROJECT,,NON,Approve,8045
Westerly,2. WINNAPAUG POND AQUATIC ECOSYSTEM RESTORATION PROJECT,,NON,Reject,3725
Westerly,"3. WASTEWATER TREATMENT FACILITIES $1,550,000",,NON,Approve,9377
Westerly,"3. WASTEWATER TREATMENT FACILITIES $1,550,000",,NON,Reject,2406
Westerly,4. AMENDMENT TO THE WESTERLY TOWN CHARTER RE: DIRECTOR,,NON,Reject,5821
Westerly,4. AMENDMENT TO THE WESTERLY TOWN CHARTER RE: DIRECTOR,,NON,Approve,5398
Woonsocket,President,,DEM,Joseph R. Biden,7289
Woonsocket,President,,REP,Donald J. Trump,6265
Woonsocket,President,,Lib,Jo Jorgensen,154
Woonsocket,President,,NON,WRITE-IN,47
Woonsocket,President,,S&L,Gloria La Riva,33
Woonsocket,President,,All,Roque &quot;Rocky&quot; De La Fuente,28
Woonsocket,President,,AS,Brian Carroll,22
Woonsocket,U.S. Senate,,DEM,John F. Reed,7870
Woonsocket,U.S. Senate,,REP,Allen R. Waters,4685
Woonsocket,U.S. Senate,,NON,WRITE-IN,21
Woonsocket,U.S. House,1,DEM,David N. Cicilline,8076
Woonsocket,U.S. House,1,Ind,Jeffrey Edward Lemire,2344
Woonsocket,U.S. House,1,Ind,Frederick Wysocki,2064
Woonsocket,U.S. House,1,NON,WRITE-IN,63
Woonsocket,State Senate,20,DEM,Roger A. Picard,4865
Woonsocket,State Senate,20,NON,WRITE-IN,158
Woonsocket,State Senate,24,DEM,Melissa A. Murray,5337
Woonsocket,State Senate,24,NON,WRITE-IN,250
Woonsocket,State House,49,DEM,Steven J. Lima,2155
Woonsocket,State House,49,Ind,Vincent J. Bono,1219
Woonsocket,State House,49,NON,WRITE-IN,19
Woonsocket,State House,50,DEM,Stephen M. Casey,3700
Woonsocket,State House,50,NON,WRITE-IN,161
Woonsocket,State House,51,DEM,Robert D. Phillips,3563
Woonsocket,State House,51,NON,WRITE-IN,124
Woonsocket,Non-Partisan Mayor CITY OF WOONSOCKET,,NON,Lisa Baldelli-Hunt,7502
Woonsocket,Non-Partisan Mayor CITY OF WOONSOCKET,,NON,Jon D. Brien,5497
Woonsocket,Non-Partisan Mayor CITY OF WOONSOCKET,,NON,WRITE-IN,51
Woonsocket,Non-Partisan City Council CITY OF WOONSOCKET,,NON,Valerie Gonzalez,5496
Woonsocket,Non-Partisan City Council CITY OF WOONSOCKET,,NON,John F. Ward,5446
Woonsocket,Non-Partisan City Council CITY OF WOONSOCKET,,NON,David M. Soucy,5212
Woonsocket,Non-Partisan City Council CITY OF WOONSOCKET,,NON,James C. Cournoyer,5081
Woonsocket,Non-Partisan City Council CITY OF WOONSOCKET,,NON,Daniel M. Gendron,4872
Woonsocket,Non-Partisan City Council CITY OF WOONSOCKET,,NON,Denise D. Sierra,4679
Woonsocket,Non-Partisan City Council CITY OF WOONSOCKET,,NON,"Roger G. Jalette, Sr.",4479
Woonsocket,Non-Partisan City Council CITY OF WOONSOCKET,,NON,Garrett S. Mancieri,4097
Woonsocket,Non-Partisan City Council CITY OF WOONSOCKET,,NON,Marlene B. Guay,3922
Woonsocket,Non-Partisan City Council CITY OF WOONSOCKET,,NON,Alexander G. Kithes,3849
Woonsocket,Non-Partisan City Council CITY OF WOONSOCKET,,NON,Margaux S. Morisseau,3845
Woonsocket,Non-Partisan City Council CITY OF WOONSOCKET,,NON,Charmaine Webster,3731
Woonsocket,Non-Partisan City Council CITY OF WOONSOCKET,,NON,Vaughan G. Miller,2771
Woonsocket,Non-Partisan City Council CITY OF WOONSOCKET,,NON,Michael Disney,1714
Woonsocket,Non-Partisan City Council CITY OF WOONSOCKET,,NON,WRITE-IN,325
Woonsocket,Non-Partisan School Committee CITY OF WOONSOCKET,,NON,Paul A. Bourget,7071
Woonsocket,Non-Partisan School Committee CITY OF WOONSOCKET,,NON,Amie L. Costa,6778
Woonsocket,Non-Partisan School Committee CITY OF WOONSOCKET,,NON,Lynn B. Kapiskas,6528
Woonsocket,Non-Partisan School Committee CITY OF WOONSOCKET,,NON,Donald G. Burke,6171
Woonsocket,Non-Partisan School Committee CITY OF WOONSOCKET,,NON,Alan M. LeClaire,5779
Woonsocket,Non-Partisan School Committee CITY OF WOONSOCKET,,NON,WRITE-IN,317
Woonsocket,1. CHANGING THE OFFICIAL NAME OF THE STATE,,NON,Approve,5820
Woonsocket,1. CHANGING THE OFFICIAL NAME OF THE STATE,,NON,Reject,5567
